,pop_id,year,authors,journal,title,type,filepath
0,0,2011,Bos et al.,Political Communication,How the Media Shape Perceptions of Right-Wing Populist Leaders,article,Political Communication/2011 - Bos et al. - How the Media Shape Perceptions of Right Wing Populist Leaders.pdf
1,1,2019,Blassnig et al.,Political Communication,Hitting a Nerve: Populist News Articles Lead to More Frequent and More Populist Reader Comments,article,Political Communication/2019 - Blassing et al. - Hitting a Nerve Populist News Articles Lead to More Frequent and More Populist Reader Comments.pdf
2,2,2017,Caramani,American Political Science Review,Will vs. Reason: The Populist and Technocratic Forms of Political Representation and Their Critique to Party Government,article,American Political Science Review/2017 - Caramani - Will vs. Reason_The Populist and Technocratic Forms of Political Representation and Their Critique to Party Government.pdf
3,3,2020,"Wuttke,Schimpf, Schoen",American Political Science Review,When the Whole Is Greater than the Sum of Its Parts: On the Conceptualization and Measurement of Populist Attitudes and Other Multidimensional Constructs,article,"American Political Science Review/2020 - Wuttke, Schimpf, Schoen - When the Whole Is Greater than the Sum of Its Parts.pdf"
4,4,2014,Treib,Journal of European Public Policy,"The voter says no, but nobody listens: causes and consequences of the Eurosceptic vote in the 2014 European elections",article,Journal of European Public Policy/2014 - Treib - The voter says no but nobody listens causes and consequences of the Eurosceptic vote in the 2014 European elections.pdf
5,5,2016,Hobolt,Journal of European Public Policy,"The Brexit vote: a divided nation, a divided continent",article,Journal of European Public Policy/2016 - Hobolt -The Brexit vote a divided nation a divided continent.pdf
6,6,2018,Kreuder-Sonnen,Journal of European Public Policy,An authoritarian turn in Europe and European Studies?,article,Journal of European Public Policy/2018 - Kreuder-Sonnen - An authoritarian turn in Europe and European Studies.pdf
7,7,2019,"McDonnell, Werner",Journal of European Public Policy,Differently Eurosceptic: radical right populist parties and their supporters,article,"Journal of European Public Policy/2019 - McDonnell, Werner - Differently Eurosceptic radical right populist parties and their supporters.pdf"
8,8,2019,Schmidt,Journal of European Public Policy,Politicization in the EU: between national politics and EU political dynamics,article,Journal of European Public Policy/2019 - Schmidt - Politicization in the EU between national politics and EU political dynamics.pdf
9,9,2020,Bakker et al.,Journal of European Public Policy,"Multidimensional incongruence, political disaffection, and support for anti-establishment parties",article,"Journal of European Public Policy/2020 - Bakker, Jolly, Polk - Multidimensional incongruence political disaffection and support for anti establishment parties.pdf"
