"year","authors","journal","title","type","pdf?","keywords","keywords_online?","notes"
"2011","Bos et al.","Political Communication","How the Media Shape Perceptions of Right-Wing Populist Leaders","article","y","y","y",""
"2019","Blassnig et al.","Political Communication","Hitting a Nerve: Populist News Articles Lead to More Frequent and More Populist Reader Comments","article","y","y","y",""
"2017","Caramani","American Political Science Review","Will vs. Reason: The Populist and Technocratic Forms of Political Representation and Their Critique to Party Government","article","y","y","",""
"2020","Wuttke,Schimpf, Schoen","American Political Science Review","When the Whole Is Greater than the Sum of Its Parts: On the Conceptualization and Measurement of Populist Attitudes and Other Multidimensional Constructs","article","y","y","",""
"2014","Treib","Journal of European Public Policy","The voter says no, but nobody listens: causes and consequences of the Eurosceptic vote in the 2014 European elections","article","y","y","",""
"2016","Hobolt","Journal of European Public Policy","The Brexit vote: a divided nation, a divided continent","article","y","y","",""
"2018","Kreuder-Sonnen","Journal of European Public Policy","An authoritarian turn in Europe and European Studies?","article","y","y","",""
"2019","McDonnell, Werner","Journal of European Public Policy","Differently Eurosceptic: radical right populist parties and their supporters","article","y","y","",""
"2019","Schmidt","Journal of European Public Policy","Politicization in the EU: between national politics and EU political dynamics","article","y","y","",""
"2020","Bakker et al.","Journal of European Public Policy","Multidimensional incongruence, political disaffection, and support for anti-establishment parties","article","y","y","",""
"2020","Bisbee et al.","Journal of European Public Policy","Decompensating domestically: the political economy of anti-globalism","article","y","y","",""
"2020","Escartin","Journal of European Public Policy","Populist challenges to EU foreign policy in the Southern Neighbourhood: an informal and illiberal Europeanisation?","article","y","y","",""
"2020","Spencer, Oppermann","Journal of European Public Policy","Narrative genres of Brexit: the Leave campaign and the success of romance","article","y","y","",""
"2018","Lockwood","Environmental Politics","Right-wing populism and the climate change agenda: exploring the linkages","article","y","y","",""
"2020","Huber","Environmental Politics","The role of populist attitudes in explaining climate change skepticism and support for environmental protection","article","y","y","",""
"2018","Hurrell","Ethics & International Affairs","Beyond the BRICS: Power, Pluralism, and the Future of Global Order","article","y","y","y",""
"2015","Verbeek, Zaslove","European Political Science Review","The impact of populist radical right parties on foreign policy: the Northern League as a junior coalition partner in the Berlusconi Governments","article","y","y","",""
