;title;year;conc;poptype
0;Bakker et al. 2020;2020;['legislative', 'election', 'substantial', 'body', 'research', 'document', 'connection', 'political', 'discontent', 'populist', 'voting', '.', '2002', 'Norris_2005', 'Schumacher', 'Rooduijn', 'expectation', 'group', 'relatively', 'engaged'];nationalist
1;Weyland 2020;2020;['corrosive', 'tactic', 'exaggerated', 'shock', 'fascism', 'rise', 'the_interwar_year', 'prominent', 'recent', 'case', 'populist', 'move', 'burgeon', 'literature', 'threat', 'U.S.', 'democracy', 'overestimate', 'openness', 'institution'];authoritatian
2;Weyland 2020;2020;['recent', 'upsurge', 'populism', 'fact', 'weak', 'institutional', 'setting', 'contemporary', 'Latin_America', 'Eastern_Europe', 'populist', 'leader', 'fail', 'machination', 'observer', 'overly', 'impressed', 'scare', 'relatively', 'case'];authoritatian
3;Weyland 2020;2020;['effort', 'recently', 'Pappas', '2019', 'chap', '4', '7', 'wide-ranging', 'investigation', 'show', 'populist', 'effort', 'dismantle', 'democratic', 'institution', 'promote', 'succeed', 'special', 'condition', 'two'];authoritatian
4;Weyland 2020;2020;['huge', 'resource', 'windfall', 'clear', 'success', 'overcome', 'acute', 'severe', 'crisis', 'give', 'populist', 'leader', 'massive', 'support', 'allow', 'remove', 'remain', 'obstacle', 'power', 'concentration'];authoritatian
5;Weyland 2020;2020;['support', 'allow', 'remove', 'remain', 'obstacle', 'power', 'concentration', 'condition', 'absent', 'populist', 'machination', 'fail', 'democracy', 'survive', 'one', 'crucial', 'precondition', 'populist', 'strangulation', 'democracy'];authoritatian
6;Weyland 2020;2020;['2018', 'analysis', 'show', 'kind', 'institutional', 'weakness', 'classiﬁe', 'later', 'necessary', 'condition', 'populist', 'smother', 'democracy', 'weak', 'institution', 'hinder', 'populist', 'machination', 'consequently', 'democracy'];authoritatian
7;Weyland 2020;2020;['classiﬁe', 'later', 'necessary', 'condition', 'populist', 'smother', 'democracy', 'weak', 'institution', 'hinder', 'populist', 'machination', 'consequently', 'democracy', 'succumb', 'only_under_a_second', 'precondition', 'populist', 'politician', 'win'];authoritatian
8;Weyland 2020;2020;['institution', 'hinder', 'populist', 'machination', 'consequently', 'democracy', 'succumb', 'only_under_a_second', 'precondition', 'populist', 'politician', 'win', 'ofﬁce', 'country', 'plague', 'acute', 'resolvable', 'crisis', 'bless', 'huge'];authoritatian
9;Weyland 2020;2020;['opposition', 'push', 'institutional', 'transformation', 'concentrate', 'power', 'disable', 'check', 'balance', 'contrast', 'populist', 'executive', 'lack', 'largely', 'exogenous', 'opportunity', 'rarely', 'obtain', 'overwhelming', 'backing'];authoritatian
10;Weyland 2020;2020;['warning', 'suggest', 'sum', 'pernicious', 'combination', 'institutional', 'weakness', 'make', 'democracy', 'vulnerable', 'populist', 'assault', 'conjunctural', 'opportunity', 'populist', 'leader', 'overwhelm', 'support', 'project', 'prove'];authoritatian
11;Weyland 2020;2020;['combination', 'institutional', 'weakness', 'make', 'democracy', 'vulnerable', 'populist', 'assault', 'conjunctural', 'opportunity', 'populist', 'leader', 'overwhelm', 'support', 'project', 'prove', 'fatal', 'democracy', 'condition', 'coincide'];authoritatian
12;Weyland 2020;2020;['leader', 'overwhelm', 'support', 'project', 'prove', 'fatal', 'democracy', 'condition', 'coincide', 'populist', 'chief', 'executive', 'manage', 'strangle', 'democracy', 'frequency', 'block', 'fail', 'effort', 'suggest'];authoritatian
13;Weyland 2020;2020;['the_United_States', 'safe', 'first', 'boast', 'considerable', 'institutional', 'strength', 'foster', 'immunity', 'populist', 'assault', 'passage', 'time', 'democracy', 'achieve', 'substantial', 'boost', 'immunity', 'coup', 'incumbent'];nationalist
14;Weyland 2020;2020;['condition', 'populist', 'leader', 'overcome', 'constraint', 'embody', 'democratic', 'institution', 'section_six', 'highlight', 'populist', 'chief', 'executive', 'face', 'exogenous', 'opportunity', 'arise', 'acute', 'crisis', 'huge'];authoritatian
15;Weyland 2020;2020;['dard', 'dahlian', 'term', 'interchangeably', 'liberal', 'pluralism', 'danger', 'root', 'nature', 'populism', 'analysis', 'regime', 'impact', 'populist', 'leaders2', 'deﬁnes', 'populism', 'political', 'strategy', 'personalistic'];authoritatian
