,word,count
0,right-wing,1544
1,support,510
2,rise,450
3,party,406
4,left-wing,379
5,right,317
6,populism,297
7,vote,292
8,study,278
9,effect,276
10,relationship,235
11,populist,232
12,argue,229
13,concept,229
14,level,224
15,use,213
16,degree,212
17,people,209
18,form,209
19,success,206
20,case,204
21,american,193
22,measure,183
23,element,181
24,literature,171
25,democracy,169
26,new,168
27,type,165
28,feature,162
29,analysis,160
30,deﬁnition,154
31,definition,147
32,term,141
33,contemporary,140
34,consider,139
35,theory,139
36,left,130
37,approach,126
38,nationalism,124
39,european,123
40,ideology,119
41,power,115
42,research,113
43,understand,113
44,nature,112
45,politic,108
46,show,107
47,suggest,107
48,view,107
49,elite,103
50,impact,103
51,radical,102
52,explain,100
53,emergence,100
54,link,99
55,strong,99
56,label,96
57,dimension,95
58,deﬁne,94
59,policy,94
60,authoritarian,93
61,aspect,92
62,mean,92
63,successful,91
64,exclusionary,91
65,way,90
66,characteristic,89
67,associate,87
68,leave,87
69,define,87
70,component,85
71,include,85
72,identify,83
73,example,82
74,class,82
75,attitude,81
76,extent,80
77,country,80
78,understanding,80
79,rightwe,78
80,find,78
81,debate,78
82,expect,76
83,claim,76
84,focus,75
85,challenge,74
86,idea,74
87,election,74
88,discourse,74
89,presence,71
90,nationalist,71
91,elect,71
92,context,70
93,position,69
94,word,69
95,notion,69
96,political,69
97,distinguish,68
98,question,68
99,relate,68
100,difference,68
101,time,68
102,content,68
103,appeal,68
104,crisis,67
105,demand,67
106,voting,67
107,fact,67
108,second,66
109,voter,66
110,movement,66
111,leftist,65
112,core,64
113,government,64
114,keyword,64
115,describe,64
116,authoritarianism,64
117,economic,63
118,account,62
119,leader,61
120,role,61
121,employ,60
122,see,60
123,share,59
124,variety,59
125,note,58
126,give,56
127,hold,56
128,strategy,56
129,accord,56
130,supply,56
131,instance,55
132,efficacy,55
133,adopt,54
134,article,54
135,increase,54
136,conception,54
137,like,54
138,examine,53
139,contrast,53
140,different,52
141,preference,52
142,condition,51
143,high,51
144,measurement,51
145,combine,51
146,point,51
147,model,50
148,reason,50
149,neoliberal,50
150,japanese,50
151,medium,49
152,assume,49
153,issue,49
154,rhetoric,48
155,expression,48
156,hand,48
157,lead,48
158,relation,47
159,interest,47
160,consequence,47
161,allow,47
162,hypothesis,46
163,result,46
164,manifestation,46
165,association,46
166,sense,46
167,variable,46
168,deal,46
169,supporter,45
170,correlate,44
171,state,44
172,basis,44
173,kind,44
174,system,44
175,call,44
176,turn,43
177,response,43
178,decade,43
179,radical-right,43
180,conceptualize,42
181,current,42
182,ground,42
183,year,42
184,conceptualization,41
185,logic,41
186,compare,41
187,indicate,41
188,change,41
189,scholar,41
190,contain,40
191,agree,40
192,work,40
193,version,40
194,potential,40
195,demonstrate,39
196,concern,39
197,explanation,39
198,reaction,39
199,particular,39
200,distinction,39
201,surge,39
202,wave,39
203,phenomenon,39
204,conceive,38
205,perspective,38
206,message,38
207,interpretation,38
208,illiberal,38
209,typical,38
210,nativism,38
211,modern,38
212,pretreatment,38
213,rightwing,37
214,apply,37
215,assess,37
216,category,37
217,institution,37
218,thin,37
219,present,36
220,individual,36
221,target,36
222,embrace,36
223,classify,36
224,nativist,36
225,identity,36
226,transnational,36
227,official,36
228,connection,35
229,value,35
230,respond,35
231,society,35
232,mainstream,35
233,common,35
234,national,35
235,discussion,35
236,express,34
237,make,34
238,table,34
239,characterize,34
240,think,34
241,inclusionary,34
242,implication,33
243,conservative,33
244,typology,33
245,opposition,33
246,argument,33
247,citizen,32
248,score,32
249,development,32
250,follow,32
251,style,31
252,moderate,31
253,representation,31
254,century,31
255,scholarship,31
256,interaction,31
257,treat,31
258,rely,30
259,actor,30
260,structure,30
261,central,30
262,reference,30
263,rentier,30
264,politician,30
265,problem,30
266,emerge,30
267,finally,30
268,articulate,30
269,radical-left,30
270,variant,29
271,articulation,29
272,inﬂuence,29
273,expectation,28
274,base,28
275,cause,28
276,rule,28
277,opportunity,28
278,force,28
279,social,28
280,conclude,28
281,clear,28
282,conceptualisation,28
283,evidence,27
284,driver,27
285,low,27
286,take,27
287,character,27
288,root,27
289,far-right,27
290,practice,27
291,code,27
292,analyse,27
293,regard,26
294,predict,26
295,imply,26
296,today,26
297,shape,26
298,technocratic,26
299,experience,26
