,right-wing,left-wing,nationalist,authoritatian,exclusionary,radical,nativist,inclusionary,neoliberal,moderate
0,party,party,party,democracy,party,party,party,party,political,party
1,political,political,people,political,political,political,people,political,party,effect
2,leader,support,political,regime,people,democracy,movement,democratic,economic,attitude
3,people,economic,politic,party,case,people,political,people,policy,level
4,support,new,discourse,democratic,politic,politic,ideology,way,politic,successful
5,democracy,policy,elite,competitive,elite,case,mobilization,democracy,state,case
6,effect,people,level,leader,democracy,new,economic,discourse,social,political
7,study,case,different,power,discourse,democratic,study,european,ideology,actor
8,voter,attitude,case,politic,movement,analysis,support,group,contemporary,support
9,attitude,politic,government,people,focus,movement,case,effect,japanese,government
10,medium,government,economic,supporter,actor,mainstream,concept,include,reform,power
11,politic,social,election,case,group,different,democratic,result,new,strong
12,case,form,article,argue,reference,leader,term,politic,form,model
13,country,democracy,power,government,identity,government,research,economic,movement,opposition
14,elite,voter,ideology,institution,form,approach,sentiment,argue,leader,country
15,mainstream,effect,country,electoral,european,change,year,case,american,vote
16,issue,election,study,election,social,form,difference,country,government,consolidation
17,article,leader,democracy,article,power,liberal,important,participation,analysis,unsuccessful
18,research,position,analysis,support,liberal,support,liberal,movement,democratic,scale
19,discourse,discourse,policy,system,feature,strategy,cultural,american,strategy,election
20,extreme,study,attitude,institutional,category,study,attitude,policy,rise,electoral
21,vote,european,identity,form,country,rise,like,relationship,economy,issue
22,european,country,appeal,weak,strategy,leave,democracy,example,time,high
23,movement,movement,state,rule,appeal,discourse,appeal,analysis,power,people
24,focus,ideological,context,rise,economic,focus,measure,attitude,latin,base
25,ideology,ideology,leader,lead,term,power,elite,crisis,popular,voter
26,analysis,focus,argue,liberal,different,system,argue,exclude,politician,success
27,style,rise,sovereignty,view,ideology,country,challenge,position,transformation,position
28,argue,vote,movement,state,leader,theory,crisis,latin,people,candidate
29,leave,crisis,concept,movement,element,policy,american,second,concept,democratic
30,rhetoric,article,european,social,exclude,article,voter,hand,deﬁne,find
31,government,issue,social,country,attitude,message,different,system,neopopulism,discourse
32,different,contemporary,sub-state,opposition,argue,election,relationship,form,ﬁnd,show
33,result,different,strategy,economic,crisis,elite,link,social,study,ideology
34,economic,elite,claim,attitude,example,degree,issue,opposition,liberal,result
35,communication,democratic,support,change,government,ideology,idea,electoral,combine,democracy
36,use,term,dimension,crisis,new,argue,immigration,government,example,economic
37,electoral,use,crisis,strong,democratic,social,point,approach,share,relationship
38,policy,strong,focus,president,claim,issue,include,power,multiculturalism,new
39,find,increase,new,threat,study,question,come,representation,case,force
40,rise,power,combine,force,dimension,show,second,identity,especially,individual
41,new,non-populist,form,theory,message,crisis,level,develop,appeal,rhetoric
42,election,level,term,use,consider,result,show,factor,welfare,impact
43,recent,far,work,point,type,use,remain,lead,literature,low
44,immigration,high,rise,claim,communication,electoral,position,voter,early,well
45,politician,consider,cultural,condition,challenge,position,suggest,expect,market,relatively
46,element,system,distinction,factor,account,ideological,liberalism,support,common,increase
47,direct,find,transnational,exist,wall,voter,set,level,interest,negative
48,ideological,leave,opposition,non-populist,mutually,term,scholar,leader,elite,manifesto
