,right-wing,left-wing,nationalist,nativist,radical,moderate,authoritatian,inclusive,exclusive,neoliberal
0,cue,participant,underdog,nineteenth-century,en,unsuccessful,competitive,materially,mutually,interest-led
1,simplicity,anti-imperialist,secular,antidemocrat,pessimistic,consolidation,ontological,conﬂictive,ediabolisation,japanese
2,cognition,non-populist,regional,greed,polyvalent,non-mainstream,one-party,double-edged,wall,neopopulism
3,extreme,riot,discourse-theoretical,supremacist,crossroad,distance,full-blown,pro-redistributive,catch-all,unexpected
4,coverage,civility,post-foundational,ressentiment,helps,suppression,usher,frontline,border,neo-populism
5,antiimmigrant,anarchist,people-as-underdog,materialism,provocative,cocktail,democratization,neofascist,naturalize,deregulation
6,emotion,disrespectful,nationhood,everpresent,disentangle,reader,machination,instinct,nonvoting,reorganization
7,media,center-right,slovak,applicability,nineteenth,code,prospect,egalitarian,organisational,populiste
8,participant,spanish,entangle,uncommon,left-right,page,regime,linkage,spontaneously,fujipopulism
9,communication,probability,foreign,generational,minimal,nonpopulist,autocracy,signifier,disfiguring,p.-a.
10,prominence,director,religious,anti-materialism,morally,psychometric,identity-lock,gap,characterisation,afﬁnitie
11,js-self,multi-level,pre-modern,antebellum,la,nonnegligible,singular,reasonably,symbolize,peruvian
12,re-elaboration,v,cinque,envy,select,equipped,unchecked,sub-modern,colonial,ﬁscally
13,effectiveness,uncivil,ambiguity,euroscepticism,gal-tan,cutoff,classiﬁe,student,expulsion,entrepreneurial
14,fi,nucleus,migration,racial,ence,interval-level,weak,appealing,mammone,unexpectedly
15,anti-politics,industry,islamic,fuzzy,ashe,discard,maverick,pollster,antagonist,spending
16,bias,hit,cooperation,apotheosis,aggregation,n-va,illiberal,third-wave,identifiable,crowd
17,news,bolivarian,outside,minimize,performatively,attitude,handover,after-modern,catchall,anti-bureaucratic
18,cancellation,activist,nodal,remotely,experi,fairly,overthrow,modestly,oppressive,qualiﬁer
19,victimisation,pretreatment,axis,tailor,scrutinize,strategically,non-populist,crisis-related,conventionally,anti-bureaucratism
20,linguistic,15-m,conﬂation,stunning,genderoriente,pauwel,cell,ﬁne-grained,color,conceal
21,susceptible,distinctiveness,populistic,triumph,radicalness,campaigner,unwind,fullness,release,colour
22,disrespectfully,campaigner,proto-populism,demarcate,incarnate,subdimension,semi-competitive,roll,identification,import-substitution
23,brake,reasonably,legitimize,nineteenth,counter-hegemony,weighted,disintegrate,timely,ingroup,de-democratising
24,attitude,attitude,specificity,sponsor,unusually,host-ideology,presidencie,header,d,enmesh
25,religious,trade,hungarian,cum,rentier,alcohol,populists-in-power,structurally,population,leftist-populist
26,immigrant,centre,transnational,adjacent,reconstitute,8-item,bayonet,revitalisation,french,popyurizumu
27,anti-immigrant,austerity,conceptual,anti-catholic,stale,pilsner,oxymoron,colonized,racial,wonder
28,heroisation,left-populist,international,hysteria,agrarian,radicalise,aspire,enclosure,behalf,deﬁcit
29,non-european,methodology,construe,yeoman,letter,par,season,cross-regional,efficacy,irresponsible
